wine_type,winetype_numeric,residual sugar,pH,sulphates,sulphates 1=low 2=high,healthiness
red,1,1.4,3.75,0.48,1,1
red,1,2.2,3.46,0.47,1,1
red,1,1.8,3.36,0.44,1,1
red,1,1.8,3.36,0.44,1,1
red,1,2.4,3.47,0.45,1,1
red,1,2,3.6,0.46,1,1
red,1,1.4,3.45,0.48,1,1
red,1,2.1,3.49,0.49,1,1
red,1,3.2,3.61,0.49,1,1
red,1,1.6,3.33,0.37,1,1
red,1,5.5,3.35,0.49,1,1
red,1,5.5,3.35,0.49,1,1
red,1,1.8,3.5,0.44,1,1
red,1,2.4,3.26,0.39,1,1
red,1,2.4,3.26,0.39,1,1
red,1,2.1,3.51,0.43,1,1
red,1,1.75,3.38,0.49,1,1
red,1,2,3.4,0.47,1,1
red,1,1.7,3.41,0.47,1,1
red,1,1.9,3.44,0.48,1,1
red,1,3.6,3.28,0.49,1,1
red,1,2,3.33,0.46,1,1
red,1,2,3.33,0.46,1,1
red,1,2.8,3.36,0.49,1,1
red,1,2.8,3.36,0.49,1,1
red,1,2.2,3.39,0.4,1,1
red,1,2.2,3.39,0.4,1,1
red,1,3,3.43,0.46,1,1
red,1,4.65,3.41,0.39,1,1
red,1,4.65,3.41,0.39,1,1
red,1,1.2,3.39,0.47,1,1
red,1,2.6,3.3,0.47,1,1
red,1,1.7,3.12,0.48,1,1
red,1,2.7,3.24,0.44,1,1
red,1,1.9,3.37,0.46,1,1
red,1,1.9,3.37,0.46,1,1
red,1,2.1,3.5,0.4,1,1
red,1,2.1,3.23,0.48,1,1
red,1,1.7,3.29,0.47,1,1
red,1,2,3.36,0.44,1,1
red,1,2,3.36,0.44,1,1
red,1,1.9,3.51,0.43,1,1
red,1,2,3.3,0.48,1,1
red,1,2.2,3.21,0.49,1,1
red,1,1.9,3.34,0.47,1,1
red,1,0.9,2.89,0.44,1,1
red,1,0.9,2.89,0.44,1,1
red,1,2.6,3.22,0.37,1,1
red,1,1.8,3.54,0.48,1,1
red,1,1.4,3.11,0.46,1,1
red,1,2.1,3.26,0.47,1,1
red,1,2.2,3.3,0.43,1,1
red,1,1.7,3.53,0.49,1,1
red,1,3.4,3.48,0.49,1,1
red,1,3.3,3.23,0.44,1,1
red,1,1.65,3.19,0.46,1,1
red,1,2.1,3.9,0.56,2,2
red,1,2.3,3.85,0.6,2,2
red,1,2.1,3.71,0.74,2,2
red,1,1.6,3.74,0.62,2,2
red,1,1.2,4.01,0.59,2,2
red,1,4.3,3.49,0.66,2,2
red,1,2,3.72,0.74,2,2
red,1,1.6,3.7,0.75,2,2
red,1,1.3,3.9,0.62,2,2
red,1,2.1,3.46,0.87,2,2
red,1,1.7,3.56,0.94,2,2
red,1,1.8,3.68,0.73,2,2
red,1,1.6,3.54,0.62,2,2
red,1,2.3,3.71,0.62,2,2
red,1,2.15,3.78,0.61,2,2
red,1,1.8,3.68,0.79,2,2
red,1,1.8,3.68,0.79,2,2
red,1,1.5,3.62,0.61,2,2
red,1,1.7,3.57,0.84,2,2
red,1,2,3.78,0.64,2,2
red,1,1.2,4.01,0.59,2,2
red,1,1.2,3.57,0.85,2,2
red,1,1.8,3.5,0.82,2,2
red,1,2.1,3.68,0.73,2,2
red,1,2.2,3.71,0.63,2,2
red,1,2.2,3.71,0.63,2,2
red,1,2.4,3.56,0.55,2,2
red,1,2.5,3.52,0.58,2,2
red,1,1.4,3.56,0.82,2,2
red,1,2.3,3.63,0.63,2,2
red,1,2.3,3.63,0.63,2,2
red,1,1.4,3.45,0.56,2,2
red,1,1.8,3.54,0.52,2,2
red,1,2,3.66,0.6,2,2
red,1,1.7,3.39,0.54,2,2
red,1,13.4,3.33,0.54,2,2
red,1,2.1,3.56,0.77,2,2
red,1,2.1,3.56,0.77,2,2
red,1,1.9,3.5,0.53,2,2
red,1,1.6,3.48,0.85,2,2
red,1,2.4,3.62,0.67,2,2
red,1,1.8,3.3,0.5,2,2
red,1,2.1,3.54,0.93,2,2
red,1,2.1,3.54,0.93,2,2
red,1,12.9,3.3,0.56,2,2
red,1,2.3,3.58,0.59,2,2
red,1,1.8,3.42,0.74,2,2
red,1,1.7,3.45,0.54,2,2
red,1,2.1,3.52,0.56,2,2
red,1,2.2,3.59,0.54,2,2
red,1,1.4,3.25,0.59,2,2
red,1,2.5,3.46,0.65,2,2
red,1,2.1,3.59,0.61,2,2
red,1,2,3.45,0.87,2,2
red,1,1.6,3.61,0.54,2,2
red,1,2.2,3.57,0.57,2,2
red,1,2.2,3.57,0.57,2,2
red,1,1.8,3.44,0.78,2,2
red,1,2,3.59,0.55,2,2
red,1,2.9,3.51,0.6,2,2
red,1,3.2,3.56,0.52,2,2
red,1,2.1,3.41,0.6,2,2
red,1,2.3,3.41,0.68,2,2
red,1,2.4,3.56,0.73,2,2
red,1,2.3,3.56,0.51,2,2
