wine_type,winetype_numeric,fixed acidity,residual sugar,density,alcohol,alcohol 1=low 2=high,fixed acidity 1=low 2=high,quality
red,1,5,1.4,0.9938,10.5,2,1,2
red,1,6,2.2,0.99647,10,2,1,2
red,1,6.1,1.8,0.99464,10.1,2,1,2
red,1,6.1,1.8,0.99464,10.1,2,1,2
red,1,6.1,2.4,0.99358,11,2,1,2
red,1,6.3,2,0.99488,11.2,2,1,2
red,1,6.3,1.4,0.9922,12.3,2,1,2
red,1,6.4,2.1,0.9949,11.4,2,1,2
red,1,6.4,3.2,0.995,12.7,2,1,2
red,1,6.6,1.6,0.99396,10.4,2,1,2
red,1,6.6,5.5,0.99655,10.8,2,1,2
red,1,6.6,5.5,0.99655,10.8,2,1,2
red,1,6.6,1.8,0.9936,11.9,2,1,2
red,1,6.7,2.4,0.99064,11.7,2,1,2
red,1,6.7,2.4,0.99064,11.7,2,1,2
red,1,6.9,2.1,0.9948,11.4,2,1,2
red,1,6.9,1.75,0.99322,11.7,2,1,2
red,1,7,2,0.9956,10,2,1,2
red,1,7,1.7,0.996,10.3,2,1,2
red,1,7,1.9,0.9956,10.5,2,1,2
red,1,7,3.6,0.99416,11.3,2,1,2
red,1,7,2,0.99346,11.9,2,1,2
red,1,7,2,0.99346,11.9,2,1,2
red,1,7.1,2.8,0.99624,10.7,2,1,2
red,1,7.1,2.8,0.99624,10.7,2,1,2
red,1,7.1,2.2,0.99242,12.8,2,1,2
red,1,7.1,2.2,0.99242,12.8,2,1,2
red,1,7.2,3,0.99586,10,2,1,2
red,1,7.2,4.65,0.9962,10.9,2,1,2
red,1,7.2,4.65,0.9962,10.9,2,1,2
red,1,7.3,1.2,0.9946,10,2,1,2
red,1,7.3,2.6,0.99562,10.5,2,1,2
red,1,7.4,1.7,0.99502,10,2,1,2
red,1,7.5,2.7,0.99628,10.4,2,1,2
red,1,7.6,1.9,0.9969,10.3,2,1,2
red,1,7.6,1.9,0.9969,10.3,2,1,2
red,1,7.6,2.1,0.99476,10.9,2,1,2
red,1,7.7,2.1,0.99604,10,2,1,2
red,1,7.7,1.7,0.9949,10.8,2,1,2
red,1,7.7,2,0.9955,10.9,2,1,2
red,1,7.7,2,0.9955,10.9,2,1,2
red,1,7.8,1.9,0.99525,10.7,2,1,2
red,1,8,2,0.99612,10.2,2,1,2
red,1,8,2.2,0.9962,10.2,2,1,2
red,1,8,1.9,0.99532,10.5,2,1,2
red,1,8,0.9,0.99007,12.7,2,1,2
red,1,8,0.9,0.99007,12.7,2,1,2
red,1,8,2.6,0.99286,13,2,1,2
red,1,8.1,1.8,0.9964,10.9,2,1,2
red,1,8.2,1.4,0.9946,10,2,1,2
red,1,8.2,2.1,0.9962,10,2,1,2
red,1,8.2,2.2,0.9959,10.1,2,1,2
red,1,8.2,1.7,0.9964,10.9,2,1,2
red,1,8.3,3.4,0.99892,11,2,1,2
red,1,8.6,3.3,0.99735,10,2,1,2
red,1,9.8,1.65,0.99478,11.4,2,1,2
red,1,4.6,2.1,0.9934,13.1,2,1,2
