wine_type,winetype_numeric,fixed acidity,residual sugar,density,pH,sulphates,alcohol,sulphates 1=low 2=high,alcohol 1=low 2=high,fixed acidity 1=low 2=high,healthiness,quality
red,1,5,1.4,0.9938,3.75,0.48,10.5,1,2,1,1,2
red,1,6,2.2,0.99647,3.46,0.47,10,1,2,1,1,2
red,1,6.1,1.8,0.99464,3.36,0.44,10.1,1,2,1,1,2
red,1,6.1,1.8,0.99464,3.36,0.44,10.1,1,2,1,1,2
red,1,6.1,2.4,0.99358,3.47,0.45,11,1,2,1,1,2
red,1,6.3,2,0.99488,3.6,0.46,11.2,1,2,1,1,2
red,1,6.3,1.4,0.9922,3.45,0.48,12.3,1,2,1,1,2
red,1,6.4,2.1,0.9949,3.49,0.49,11.4,1,2,1,1,2
red,1,6.4,3.2,0.995,3.61,0.49,12.7,1,2,1,1,2
red,1,6.6,1.6,0.99396,3.33,0.37,10.4,1,2,1,1,2
red,1,6.6,5.5,0.99655,3.35,0.49,10.8,1,2,1,1,2
red,1,6.6,5.5,0.99655,3.35,0.49,10.8,1,2,1,1,2
red,1,6.6,1.8,0.9936,3.5,0.44,11.9,1,2,1,1,2
red,1,6.7,2.4,0.99064,3.26,0.39,11.7,1,2,1,1,2
red,1,6.7,2.4,0.99064,3.26,0.39,11.7,1,2,1,1,2
red,1,6.9,2.1,0.9948,3.51,0.43,11.4,1,2,1,1,2
red,1,6.9,1.75,0.99322,3.38,0.49,11.7,1,2,1,1,2
red,1,7,2,0.9956,3.4,0.47,10,1,2,1,1,2
red,1,7,1.7,0.996,3.41,0.47,10.3,1,2,1,1,2
red,1,7,1.9,0.9956,3.44,0.48,10.5,1,2,1,1,2
red,1,7,3.6,0.99416,3.28,0.49,11.3,1,2,1,1,2
red,1,7,2,0.99346,3.33,0.46,11.9,1,2,1,1,2
red,1,7,2,0.99346,3.33,0.46,11.9,1,2,1,1,2
red,1,7.1,2.8,0.99624,3.36,0.49,10.7,1,2,1,1,2
red,1,7.1,2.8,0.99624,3.36,0.49,10.7,1,2,1,1,2
red,1,7.1,2.2,0.99242,3.39,0.4,12.8,1,2,1,1,2
red,1,7.1,2.2,0.99242,3.39,0.4,12.8,1,2,1,1,2
red,1,7.2,3,0.99586,3.43,0.46,10,1,2,1,1,2
red,1,7.2,4.65,0.9962,3.41,0.39,10.9,1,2,1,1,2
red,1,7.2,4.65,0.9962,3.41,0.39,10.9,1,2,1,1,2
red,1,7.3,1.2,0.9946,3.39,0.47,10,1,2,1,1,2
red,1,7.3,2.6,0.99562,3.3,0.47,10.5,1,2,1,1,2
red,1,7.4,1.7,0.99502,3.12,0.48,10,1,2,1,1,2
red,1,7.5,2.7,0.99628,3.24,0.44,10.4,1,2,1,1,2
red,1,7.6,1.9,0.9969,3.37,0.46,10.3,1,2,1,1,2
red,1,7.6,1.9,0.9969,3.37,0.46,10.3,1,2,1,1,2
red,1,7.6,2.1,0.99476,3.5,0.4,10.9,1,2,1,1,2
red,1,7.7,2.1,0.99604,3.23,0.48,10,1,2,1,1,2
red,1,7.7,1.7,0.9949,3.29,0.47,10.8,1,2,1,1,2
red,1,7.7,2,0.9955,3.36,0.44,10.9,1,2,1,1,2
red,1,7.7,2,0.9955,3.36,0.44,10.9,1,2,1,1,2
red,1,7.8,1.9,0.99525,3.51,0.43,10.7,1,2,1,1,2
red,1,8,2,0.99612,3.3,0.48,10.2,1,2,1,1,2
red,1,8,2.2,0.9962,3.21,0.49,10.2,1,2,1,1,2
red,1,8,1.9,0.99532,3.34,0.47,10.5,1,2,1,1,2
red,1,8,0.9,0.99007,2.89,0.44,12.7,1,2,1,1,2
red,1,8,0.9,0.99007,2.89,0.44,12.7,1,2,1,1,2
red,1,8,2.6,0.99286,3.22,0.37,13,1,2,1,1,2
red,1,8.1,1.8,0.9964,3.54,0.48,10.9,1,2,1,1,2
red,1,8.2,1.4,0.9946,3.11,0.46,10,1,2,1,1,2
red,1,8.2,2.1,0.9962,3.26,0.47,10,1,2,1,1,2
red,1,8.2,2.2,0.9959,3.3,0.43,10.1,1,2,1,1,2
red,1,8.2,1.7,0.9964,3.53,0.49,10.9,1,2,1,1,2
red,1,8.3,3.4,0.99892,3.48,0.49,11,1,2,1,1,2
