wine_type,winetype_numeric,fixed acidity,residual sugar,density,alcohol,alcohol 1=low 2=high,fixed acidity 1=low 2=high,quality
white,2,3.8,11.1,0.99248,12.4,2,1,2
white,2,3.9,4.2,0.989,12.8,2,1,2
white,2,4.4,2.8,0.98816,13.1,2,1,2
white,2,4.8,1.2,0.99132,10.3,2,1,2
white,2,4.8,2.9,0.9902,11.3,2,1,2
white,2,4.8,1.1,0.99246,13.5,2,1,2
white,2,5,1.5,0.9917,10.7,2,1,2
white,2,5,1.5,0.9906,10.8,2,1,2
white,2,5,4.5,0.98956,12.6,2,1,2
white,2,5,3.7,0.9887,13,2,1,2
white,2,5,1.3,0.9874,13.5,2,1,2
white,2,5.1,8.3,0.99308,11,2,1,2
white,2,5.1,1,0.98956,11.5,2,1,2
white,2,5.1,6.8,0.99188,11.5,2,1,2
white,2,5.1,2.3,0.98944,12.2,2,1,2
white,2,5.1,1.6,0.9893,12.5,2,1,2
white,2,5.1,1.6,0.9893,12.5,2,1,2
white,2,5.2,1,0.99218,10.15,2,1,2
white,2,5.2,3.8,0.992,11.2,2,1,2
white,2,5.2,1.2,0.9902,11.7,2,1,2
white,2,5.2,1.4,0.9894,12.1,2,1,2
white,2,5.2,1.5,0.98942,13,2,1,2
white,2,5.3,1.3,0.9906,11,2,1,2
white,2,5.3,6.3,0.99186,11.6,2,1,2
white,2,5.3,10.5,0.99321,11.7,2,1,2
white,2,5.3,4.2,0.9905,11.8,2,1,2
white,2,5.4,1.6,0.99265,10,2,1,2
white,2,5.4,7.8,0.99432,10.4,2,1,2
white,2,5.4,4,0.99031,12.2,2,1,2
white,2,5.4,1.2,0.98895,12.4,2,1,2
white,2,5.4,6.4,0.98944,13.4,2,1,2
white,2,5.5,1.7,0.99224,10,2,1,2
white,2,5.5,1.7,0.99142,10.5,2,1,2
white,2,5.5,0.9,0.99026,11.2,2,1,2
white,2,5.5,1.2,0.9898,11.65,2,1,2
white,2,5.5,1.1,0.98869,12.8,2,1,2
white,2,5.5,1.7,0.98758,13.55,2,1,2
white,2,5.6,1.4,0.99174,10.2,2,1,2
white,2,5.6,10.2,0.9945,10.4,2,1,2
white,2,5.6,5.3,0.9923,10.5,2,1,2
white,2,5.6,7.1,0.9931,10.5,2,1,2
white,2,5.6,10.6,0.9947,10.7,2,1,2
white,2,5.6,6.9,0.99266,11.1,2,1,2
white,2,5.6,0.9,0.99026,11.2,2,1,2
white,2,5.6,4.5,0.9922,11.2,2,1,2
white,2,5.6,1,0.9902,11.4,2,1,2
white,2,5.6,4.8,0.9908,12.6,2,1,2
white,2,5.6,4.7,0.9906,12.7,2,1,2
white,2,5.6,1.7,0.98892,12.9,2,1,2
white,2,5.6,1.2,0.98823,13.05,2,1,2
white,2,5.7,1.2,0.9934,10.2,2,1,2
white,2,5.7,9,0.99474,10.4,2,1,2
white,2,5.7,11.4,0.99456,10.5,2,1,2
white,2,5.7,10.4,0.994,10.6,2,1,2
white,2,5.7,0.9,0.99074,10.6,2,1,2
white,2,5.7,1.4,0.9906,11,2,1,2
white,2,5.7,3.7,0.9913,11.2,2,1,2
white,2,5.7,3.7,0.9913,11.2,2,1,2
white,2,5.7,3.5,0.98999,12.1,2,1,2
white,2,5.7,1.3,0.98968,12.4,2,1,2
white,2,5.8,7,0.9949,10,2,1,2
white,2,5.8,14.95,0.9962,10.2,2,1,2
white,2,5.8,1.2,0.9908,11,2,1,2
white,2,5.8,1.4,0.9909,11.3,2,1,2
white,2,5.8,1,0.99044,11.4,2,1,2
white,2,5.8,3.5,0.98994,11.5,2,1,2
white,2,5.8,1,0.98993,11.7,2,1,2
white,2,5.8,3.5,0.9913,11.7,2,1,2
white,2,5.8,3.5,0.99057,11.7,2,1,2
white,2,5.8,1.5,0.9887,12,2,1,2
white,2,5.8,3.7,0.98994,12.3,2,1,2
white,2,5.8,1.4,0.98918,12.4,2,1,2
white,2,5.8,4,0.9896,12.8,2,1,2
white,2,5.9,1.3,0.99232,10,2,1,2
white,2,5.9,7.4,0.995,10.1,2,1,2
white,2,5.9,14.4,0.99666,10.3,2,1,2
white,2,5.9,1.4,0.99148,10.5,2,1,2
white,2,5.9,11.4,0.9949,10.5,2,1,2
white,2,5.9,2.4,0.99184,10.9,2,1,2
white,2,5.9,5.1,0.99165,11.3,2,1,2
white,2,5.9,5.4,0.99224,11.4,2,1,2
white,2,5.9,1.6,0.99105,11.4,2,1,2
white,2,5.9,7.85,0.9933,11.5,2,1,2
white,2,5.9,1.2,0.99134,11.5,2,1,2
white,2,5.9,1.3,0.99069,11.55,2,1,2
white,2,5.9,1.5,0.99021,12,2,1,2
white,2,5.9,6.4,0.99151,12.2,2,1,2
white,2,5.9,3.2,0.98959,12.6,2,1,2
white,2,5.9,8.1,0.9911,12.7,2,1,2
white,2,5.9,2,0.98892,12.9,2,1,2
white,2,5.9,2,0.98892,12.9,2,1,2
white,2,6,1.6,0.9931,10.1,2,1,2
white,2,6,1.6,0.9921,10.2,2,1,2
white,2,6,6.3,0.9946,10.4,2,1,2
white,2,6,8.7,0.99368,10.6,2,1,2
white,2,6,6.7,0.9951,10.6,2,1,2
white,2,6,0.8,0.99032,10.9,2,1,2
white,2,6,7.7,0.99224,11,2,1,2
white,2,6,0.8,0.99036,11,2,1,2
white,2,6,6.8,0.9928,11,2,1,2
white,2,6,1.3,0.9914,11.1,2,1,2
white,2,6,1.3,0.99125,11.1,2,1,2
white,2,6,1.2,0.99185,11.2,2,1,2
white,2,6,12.2,0.99356,11.3,2,1,2
white,2,6,3.3,0.9914,11.3,2,1,2
white,2,6,1.1,0.98954,11.5,2,1,2
white,2,6,0.9,0.98934,12.1,2,1,2
white,2,6,2.2,0.989465,12.15,2,1,2
white,2,6,6,0.9912,12.3,2,1,2
white,2,6,1,0.9896,12.3,2,1,2
white,2,6,1.4,0.98998,12.4,2,1,2
white,2,6,2.1,0.98964,12.5,2,1,2
white,2,6,1.1,0.98862,12.6,2,1,2
white,2,6,1.1,0.98862,12.6,2,1,2
white,2,6.1,9.8,0.99532,10.2,2,1,2
white,2,6.1,9.8,0.9957,10.2,2,1,2
white,2,6.1,2.2,0.9926,10.4,2,1,2
white,2,6.1,10.5,0.9963,10.5,2,1,2
white,2,6.1,1.4,0.99184,10.5,2,1,2
white,2,6.1,1.8,0.9945,10.5,2,1,2
white,2,6.1,12.1,0.99481,10.7,2,1,2
white,2,6.1,6,0.99474,10.7,2,1,2
white,2,6.1,10,0.994,10.9,2,1,2
white,2,6.1,7.75,0.99296,11,2,1,2
white,2,6.1,1.3,0.9912,11.1,2,1,2
white,2,6.1,6.6,0.99188,11.45,2,1,2
white,2,6.1,1.85,0.98966,11.8,2,1,2
white,2,6.1,1.85,0.98966,11.8,2,1,2
white,2,6.1,5,0.99007,12.4,2,1,2
white,2,6.1,1.5,0.9898,12.4,2,1,2
white,2,6.1,1.1,0.9898,12.5,2,1,2
white,2,6.1,4.7,0.99042,12.5,2,1,2
white,2,6.1,2.1,0.9895,12.7,2,1,2
white,2,6.1,2.1,0.9895,12.7,2,1,2
white,2,6.15,3.2,0.99076,12,2,1,2
white,2,6.2,8,0.99445,10.4,2,1,2
white,2,6.2,4.9,0.9927,10.4,2,1,2
white,2,6.2,3.4,0.9924,10.4,2,1,2
white,2,6.2,16.8,0.99691,10.5,2,1,2
white,2,6.2,2.2,0.9917,10.5,2,1,2
white,2,6.2,10.3,0.99388,10.7,2,1,2
white,2,6.2,1.4,0.9909,11.2,2,1,2
