wine_type,winetype_numeric,fixed acidity,residual sugar,density,pH,sulphates,alcohol,sulphates 1=low 2=high,alcohol 1=low 2=high,fixed acidity 1=low 2=high,healthiness,quality
white,2,3.8,11.1,0.99248,3.75,0.44,12.4,1,2,1,1,2
white,2,3.9,4.2,0.989,3.57,0.36,12.8,1,2,1,1,2
white,2,4.4,2.8,0.98816,3.48,0.34,13.1,1,2,1,1,2
white,2,4.8,1.2,0.99132,3.31,0.4,10.3,1,2,1,1,2
white,2,4.8,2.9,0.9902,3.38,0.34,11.3,1,2,1,1,2
white,2,4.8,1.1,0.99246,3.32,0.36,13.5,1,2,1,1,2
white,2,5,1.5,0.9917,3.48,0.44,10.7,1,2,1,1,2
white,2,5,1.5,0.9906,3.48,0.39,10.8,1,2,1,1,2
white,2,5,4.5,0.98956,3.45,0.31,12.6,1,2,1,1,2
white,2,5,3.7,0.9887,3.36,0.3,13,1,2,1,1,2
white,2,5,1.3,0.9874,3.26,0.37,13.5,1,2,1,1,2
white,2,5.1,8.3,0.99308,3.36,0.37,11,1,2,1,1,2
white,2,5.1,1,0.98956,3.22,0.39,11.5,1,2,1,1,2
white,2,5.1,6.8,0.99188,3.38,0.4,11.5,1,2,1,1,2
white,2,5.1,2.3,0.98944,3.29,0.46,12.2,1,2,1,1,2
white,2,5.1,1.6,0.9893,3.51,0.38,12.5,1,2,1,1,2
white,2,5.1,1.6,0.9893,3.51,0.38,12.5,1,2,1,1,2
white,2,5.2,1,0.99218,3.55,0.44,10.15,1,2,1,1,2
white,2,5.2,3.8,0.992,3.55,0.49,11.2,1,2,1,1,2
white,2,5.2,1.2,0.9902,3.37,0.38,11.7,1,2,1,1,2
white,2,5.2,1.4,0.9894,3.36,0.33,12.1,1,2,1,1,2
white,2,5.2,1.5,0.98942,3.56,0.48,13,1,2,1,1,2
white,2,5.3,1.3,0.9906,3.59,0.38,11,1,2,1,1,2
white,2,5.3,6.3,0.99186,3.37,0.4,11.6,1,2,1,1,2
white,2,5.3,10.5,0.99321,3.34,0.46,11.7,1,2,1,1,2
white,2,5.3,4.2,0.9905,3.3,0.36,11.8,1,2,1,1,2
white,2,5.4,1.6,0.99265,3.54,0.41,10,1,2,1,1,2
white,2,5.4,7.8,0.99432,3.19,0.38,10.4,1,2,1,1,2
white,2,5.4,4,0.99031,3.3,0.43,12.2,1,2,1,1,2
white,2,5.4,1.2,0.98895,3.28,0.36,12.4,1,2,1,1,2
white,2,5.4,6.4,0.98944,3.22,0.27,13.4,1,2,1,1,2
white,2,5.5,1.7,0.99224,3.22,0.48,10,1,2,1,1,2
white,2,5.5,1.7,0.99142,3.29,0.39,10.5,1,2,1,1,2
white,2,5.5,0.9,0.99026,3.5,0.39,11.2,1,2,1,1,2
white,2,5.5,1.2,0.9898,3.33,0.44,11.65,1,2,1,1,2
white,2,5.5,1.1,0.98869,3.34,0.38,12.8,1,2,1,1,2
white,2,5.5,1.7,0.98758,3.15,0.39,13.55,1,2,1,1,2
white,2,5.6,1.4,0.99174,3.32,0.35,10.2,1,2,1,1,2
white,2,5.6,10.2,0.9945,2.98,0.43,10.4,1,2,1,1,2
white,2,5.6,5.3,0.9923,3.3,0.39,10.5,1,2,1,1,2
white,2,5.6,7.1,0.9931,3.3,0.4,10.5,1,2,1,1,2
white,2,5.6,10.6,0.9947,3.4,0.34,10.7,1,2,1,1,2
white,2,5.6,6.9,0.99266,3.25,0.49,11.1,1,2,1,1,2
white,2,5.6,0.9,0.99026,3.5,0.39,11.2,1,2,1,1,2
white,2,5.6,4.5,0.9922,3.56,0.45,11.2,1,2,1,1,2
white,2,5.6,1,0.9902,3.37,0.34,11.4,1,2,1,1,2
white,2,5.6,4.8,0.9908,3.29,0.37,12.6,1,2,1,1,2
white,2,5.6,4.7,0.9906,3.28,0.36,12.7,1,2,1,1,2
white,2,5.6,1.7,0.98892,3.35,0.37,12.9,1,2,1,1,2
white,2,5.6,1.2,0.98823,3.2,0.46,13.05,1,2,1,1,2
white,2,5.7,1.2,0.9934,3.8,0.41,10.2,1,2,1,1,2
white,2,5.7,9,0.99474,3.36,0.37,10.4,1,2,1,1,2
white,2,5.7,11.4,0.99456,3.03,0.34,10.5,1,2,1,1,2
white,2,5.7,10.4,0.994,3.39,0.37,10.6,1,2,1,1,2
white,2,5.7,0.9,0.99074,3.24,0.46,10.6,1,2,1,1,2
white,2,5.7,1.4,0.9906,3.44,0.37,11,1,2,1,1,2
white,2,5.7,3.7,0.9913,3.22,0.27,11.2,1,2,1,1,2
white,2,5.7,3.7,0.9913,3.22,0.27,11.2,1,2,1,1,2
white,2,5.7,3.5,0.98999,3.17,0.36,12.1,1,2,1,1,2
white,2,5.7,1.3,0.98968,3.37,0.43,12.4,1,2,1,1,2
white,2,5.8,7,0.9949,3.46,0.45,10,1,2,1,1,2
white,2,5.8,14.95,0.9962,3.37,0.37,10.2,1,2,1,1,2
white,2,5.8,1.2,0.9908,3.42,0.4,11,1,2,1,1,2
white,2,5.8,1.4,0.9909,3.29,0.38,11.3,1,2,1,1,2
white,2,5.8,1,0.99044,3.36,0.48,11.4,1,2,1,1,2
white,2,5.8,3.5,0.98994,3.1,0.38,11.5,1,2,1,1,2
white,2,5.8,1,0.98993,3.5,0.42,11.7,1,2,1,1,2
white,2,5.8,3.5,0.9913,3.53,0.43,11.7,1,2,1,1,2
white,2,5.8,3.5,0.99057,3.2,0.44,11.7,1,2,1,1,2
white,2,5.8,1.5,0.9887,2.96,0.35,12,1,2,1,1,2
white,2,5.8,3.7,0.98994,3.25,0.42,12.3,1,2,1,1,2
white,2,5.8,1.4,0.98918,3.26,0.35,12.4,1,2,1,1,2
white,2,5.8,4,0.9896,3.39,0.39,12.8,1,2,1,1,2
white,2,5.9,1.3,0.99232,3.2,0.47,10,1,2,1,1,2
white,2,5.9,7.4,0.995,3.49,0.42,10.1,1,2,1,1,2
white,2,5.9,14.4,0.99666,3.24,0.41,10.3,1,2,1,1,2
