wine_type,winetype_numeric,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
white,2,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10
white,2,6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1
white,2,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5
white,2,6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5
white,2,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2
white,2,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3
white,2,6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2
white,2,5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7
white,2,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7
white,2,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11
white,2,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10
white,2,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9
white,2,5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12
white,2,6.9,0.31,0.32,1.6,0.036,34,114,0.99068,3.19,0.45,11.4
white,2,6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8
white,2,6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2
white,2,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4
white,2,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3
white,2,5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4
white,2,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2
white,2,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2
white,2,5.9,0.24,0.28,1.3,0.032,36,95,0.98889,3.08,0.64,12.9
white,2,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9
white,2,6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4
white,2,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9
white,2,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9
white,2,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3
white,2,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7
white,2,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2
white,2,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7
white,2,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5
white,2,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3
white,2,5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9
white,2,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11
white,2,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7
white,2,7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6
white,2,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3
white,2,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9
white,2,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7
white,2,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13
white,2,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9
white,2,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5
white,2,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1
white,2,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3
white,2,6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4
